n,target,library,folded_nd,folded_lev,folded_area,folded_delay,baseline_nd,baseline_lev,baseline_area,baseline_delay,delta_nd_baseline_minus_folded,delta_lev_baseline_minus_folded,delta_area_baseline_minus_folded,delta_delay_baseline_minus_folded
53,stdcell_proxy,sky130.genlib,491,27,4813.12,1885.64,480,27,4621.71,1880.42,-11,0,-191.41,-5.22
53,stdcell_proxy,asap7.genlib,337,19,33.19,450.67,325,19,32.56,451.13,-12,0,-0.63,0.46
53,stdcell_proxy,mcnc.genlib,517,33,1195.0,35.1,522,33,1191.0,35.7,5,0,-4.0,0.6
55,lut6,K6,81,6,81.0,6.0,85,7,85.0,7.0,4,1,4.0,1.0
55,stdcell_proxy,sky130.genlib,493,27,4809.43,1885.64,503,29,4798.18,1999.51,10,2,-11.25,113.87
55,stdcell_proxy,asap7.genlib,322,18,31.39,449.58,327,18,32.29,469.3,5,0,0.9,19.72
55,stdcell_proxy,mcnc.genlib,531,33,1197.0,35.1,562,36,1259.0,37.7,31,3,62.0,2.6
57,lut6,K6,86,7,86.0,7.0,87,7,87.0,7.0,1,0,1.0,0.0
57,stdcell_proxy,sky130.genlib,535,26,5149.78,1705.78,515,29,4897.04,1999.51,-20,3,-252.74,293.73
57,stdcell_proxy,asap7.genlib,385,19,39.57,436.58,339,18,33.14,469.3,-46,-1,-6.43,32.72
57,stdcell_proxy,mcnc.genlib,547,29,1273.0,32.8,577,36,1296.0,37.7,30,7,23.0,4.9
59,lut6,K6,87,7,87.0,7.0,88,7,88.0,7.0,1,0,1.0,0.0
59,stdcell_proxy,sky130.genlib,541,26,5192.33,1705.78,533,29,5161.11,2003.38,-8,3,-31.22,297.6
59,stdcell_proxy,asap7.genlib,389,19,39.95,436.58,341,18,33.59,469.3,-48,-1,-6.36,32.72
59,stdcell_proxy,mcnc.genlib,553,29,1284.0,32.8,574,35,1306.0,37.8,21,6,22.0,5.0
61,lut6,K6,88,7,88.0,7.0,92,7,92.0,7.0,4,0,4.0,0.0
61,stdcell_proxy,sky130.genlib,559,30,5408.9,2035.74,545,29,5254.94,2003.38,-14,-1,-153.96,-32.36
61,stdcell_proxy,asap7.genlib,394,21,39.27,473.69,353,18,34.49,469.3,-41,-3,-4.78,-4.39
61,stdcell_proxy,mcnc.genlib,608,36,1372.0,38.1,594,35,1348.0,37.8,-14,-1,-24.0,-0.3
